text|label
“நேர்மையான கிரிக்கெட்டை விளையாட தென் இந்தியா என்னை தயார்ப்படுத்தியது” - தோனி|விளையாட்டு
மேகதாது விவகாரம்: தமிழக, கர்நாடகா முதலமைச்சர்களுக்கு நிதின் கட்கரி கடிதம்|தமிழ்நாடு
உண்மை நிலை தெரியாமல் பதிலளிக்க முடியாது - நடிகர் ரஜினிகாந்த்|அரசியல்
“தமிழகத்தின் அனுமதி இல்லாமல் மேகதாது அணை கட்ட முடியாது”- நிதின் கட்கரி..!|இந்தியா
“பந்துவீச்சாளர்கள் ஐபிஎல் விளையாடலாமா?” - எதிரெதிர் கருத்தில் தோனி, கும்பளே |விளையாட்டு
ஜான்சன் அன்ட் ஜான்சன் பவுடரை ஆய்வு செய்ய மத்திய அரசு அறிவுறுத்தல்|இந்தியா
தமிழகத்தில் 2 தினங்களுக்கு மழைக்கு வாய்ப்பு : வானிலை மையம் தகவல்|தமிழ்நாடு
சிறுத்தையை கூண்டு வைத்து பிடித்தாலும் பிரச்னை முடியாது !|சிறப்புச் செய்திகள்
'நானும்தான் ஆக்சிடெண்டல் பிரைம் மினிஸ்டர்' - தேவகவுடா |இந்தியா
“புல்லட் ரயில் இருக்கட்டும்.. இந்த ரயிலை கவனியுங்கள்” - பிரதமரை விமர்சித்த பாஜக முன்னாள் அமைச்சர்|இந்தியா
ஆற்றுக்கு அடியில் 28 கி.மீ ரயில் பாதை - சீனா புதிய கட்டுமானம்|உலகம்
மெல்போர்ன் டெஸ்ட்: இந்திய அணி அபார வெற்றி!|விளையாட்டு
ரஜினிகாந்துக்கு பிரபலங்கள் பிறந்தநாள் வாழ்த்து|சினிமா
ஜான்சன் அன்ட் ஜான்சன் பவுடரை ஆய்வு செய்ய மத்திய அரசு அறிவுறுத்தல்|இந்தியா
“தமிழகத்தின் அனுமதி இல்லாமல் மேகதாது அணை கட்ட முடியாது”- நிதின் கட்கரி..!|இந்தியா
கர்ப்பிணிக்கு எச்.ஐ.வி ரத்தம்: அமைச்சரை டிஸ்மிஸ் செய்ய ஸ்டாலின் வலியுறுத்தல்|அரசியல்
“காசநோய் இல்லாத மாநிலமாக தமிழகம் உருவாக்கப்படும்” - அமைச்சர் விஜயபாஸ்கர்|தமிழ்நாடு
துணை முதல்வர் பன்னீர்செல்வம் ஆஜராக ஆறுமுகசாமி ஆணையம் சம்மன்|தமிழ்நாடு
”தினகரன் ஃப்பியூஸ் போன பல்பு” - அமைச்சர் எம்.ஆர்.விஜயபாஸ்கர்|அரசியல்
புதிய தலைமைச் செயலக கட்டிட முறைகேடு வழக்கு: லஞ்ச ஒழிப்புத்துறைக்கு மாற்றிய அரசாணை ரத்து|தமிழ்நாடு
செந்தில் பாலாஜி எங்கிருந்தாலும் வாழ்க - டிடிவி தினகரன் |அரசியல்
அதிமுக வடக்கு மாவட்ட பொறுப்பாளர்கள் அதிரடி மாற்றம் |அரசியல்
2 வது டெஸ்ட்: 4 விக்கெட்டுகளை இழந்தது ஆஸ்திரேலியா!|விளையாட்டு
மேல்முறையீடு செல்லாததுதான் பிரிவுக்கு காரணமா? - செந்தில்பாலாஜி பதில் |அரசியல்
”தினகரன் ஃப்பியூஸ் போன பல்பு” - அமைச்சர் எம்.ஆர்.விஜயபாஸ்கர்|அரசியல்
மருத்துவமனையில் ரகசிய கேமரா.. பெண்கள் உடை மாற்றுவதை படம் பிடித்தவர் கைது..!|தமிழ்நாடு
“காசநோய் இல்லாத மாநிலமாக தமிழகம் உருவாக்கப்படும்” - அமைச்சர் விஜயபாஸ்கர்|தமிழ்நாடு
4 மாதங்களில் 200 பயணிகளிடம் கொள்ளையடித்த கும்பல்..! அதிரடி காட்டிய போலீஸ்..!|இந்தியா
“கர்நாடகாவில் ஒரு வாரத்தில் ஆட்சி அமைப்போம்” - ஷாக் கொடுத்த பாஜக எம்.எல்.ஏ|அரசியல்
காதலுக்காக தந்தையைக் கொலை செய்த மகன்|குற்றம்
‘கிளி’ யாருக்குச் சொந்தம்..? காவல் நிலையம் சென்றது வழக்கு..!|தமிழ்நாடு
வெள்ளத்தால் பெற்றோரை பிரிந்த சிறுமி 5 வருடத்திற்கு பிறகு சேர்ந்த கதை|இந்தியா
உங்கள் "வாட்ஸ் அப்" பை அப்டேட் செய்தீர்களா ? புதிய தகவல்கள்|அறிவியல் & தொழில்நுட்பம்
தொண்டர்களுடன் உரையாட வாட்ஸ்அப் குழுக்கள்.. பாஜக முடிவு|இந்தியா
சிறுமி பாலியல் வன்கொடுமை:  திமுக முன்னாள் எம்எல்ஏவுக்கு 10 ஆண்டுகள் சிறை..!|தமிழ்நாடு
குட்கா விவகாரத்தில் ஆறு காவல் அதிகாரிகளிடம் சிபிஐ விசாரணை|தமிழ்நாடு
‘கிளி’ யாருக்குச் சொந்தம்..? காவல் நிலையம் சென்றது வழக்கு..!|தமிழ்நாடு
பிரபாஸ் திருமணம் தள்ளிப்போவது ஏன்? ரகசியம் உடைத்தார் ராஜமவுலி !|சினிமா
இயக்குனர் ராஜமவுலி மகன் திருமணம்: ஜெய்ப்பூரில் நாளை நடக்கிறது|சினிமா
இந்தியாவின் பணக்கார அமைச்சருக்கு ரூ.1015 கோடி சொத்து!|இந்தியா
விவசாயிகளுடன் பேச்சுவார்த்தைக்குத் தயார் அமைச்சர் தங்கமணி |தமிழ்நாடு
ராகுல் டிராவிட் சாதனையை முறியடித்த விராத் கோலி!|விளையாட்டு
'பேட்ட' டிரைலர் நாளை வெளியீடு ! உற்சாகத்தில் ரசிகர்கள்|சினிமா
மூடப்படுகிறது அபிராமி மெகா மால் ! இரண்டு ஆண்டுகளுக்கு பின்பு திறக்கப்படும்|சினிமா
மெல்போர்னில் இனவெறி கோஷம் எழுப்பிய ரசிகர்கள்!|விளையாட்டு
''எதிர் மனுதாரராக சேர்க்கவேண்டும்'' : விசாரணை ஆணைய வழக்கறிஞர் மனு|தமிழ்நாடு
மருத்துவமனையில் ரகசிய கேமரா.. பெண்கள் உடை மாற்றுவதை படம் பிடித்தவர் கைது..!|தமிழ்நாடு
இந்திய பந்துவீச்சாளர்களை புகழ்ந்த ஆஸி.கேப்டன்!|விளையாட்டு
எனது பெயரில் புதிய தொலைக்காட்சி ஏன்? - ரஜினி விளக்கம்|தமிழ்நாடு
மெல்போர்னில் இனவெறி கோஷம் எழுப்பிய ரசிகர்கள்!|விளையாட்டு
''நீதிமன்ற‌ தீர்ப்பை கர்நாடகா மதித்த வரலாறே இல்லை'' - முதலமைச்சர் பழனிசாமி|தமிழ்நாடு
ஜல்லிக்கட்டு வழக்கை விரைந்து நடத்த பீட்டா கோரிக்கை|தமிழ்நாடு
“காங்கிரஸ் பெற்றது வஞ்சக வெற்றி” - உ.பி முதலமைச்சர் யோகி|இந்தியா
பத்திரிகை ஆசிரியர்கள் கில்டில் இருந்து அக்பர், தேஜ்பால் சஸ்பெண்ட்!|இந்தியா
தீவிரவாதியான நடிகர்: என்கவுன்டரில் சுட்டுக்கொலை!|சினிமா
ஜம்மு - காஷ்மீரில் நள்ளிரவில் அமலானது குடியரசுத் தலைவர் ஆட்சி|இந்தியா
காஷ்மீரில் கடும் சண்டை: 3 தீவிரவாதிகள் சுட்டுக்கொலை|இந்தியா
நடிகை ஸ்வேதா பாசு திருமணம்: இயக்குனரை மணந்தார்!|சினிமா
மெல்போர்ன் டெஸ்ட்: வெற்றியின் விளிம்பில் இந்திய அணி|விளையாட்டு
பெட்ரோல் பங்க் கொள்ளை வழக்கு: முக்கிய குற்றவாளியின் கை எலும்பு முறிவு|குற்றம்
இத்தனை நாள் ஏன் மயங்க் அகர்வால் காத்திருக்க நேர்ந்தது? - முன் நிற்கும் கேள்விகள்|விளையாட்டு
பயோபிக் வரிசையில் அடுத்து அப்துல் கலாம்: அனில் கபூர் நடிக்கிறார்?|சினிமா
மெல்போர்னில் இனவெறி கோஷம் எழுப்பிய ரசிகர்கள்!|விளையாட்டு
“வலிமையடைந்து கொண்டே செல்கிறார் பும்ரா” - புகழ்ந்து தள்ளிய சச்சின்|விளையாட்டு
உற்பத்தியை குறைக்க திட்டம் ! உயரவுள்ள பெட்ரோல் டீசல் விலை|வணிகம்
“சிகிச்சையின்போது எச்.ஐ.வி பரவ வாய்ப்பில்லை” - கீழ்ப்பாக்கம் மருத்துவமனை டீன்|தமிழ்நாடு
“வழி தவறிய பசுக்களை பாதுகாக்க குழு அமையுங்கள்” - அதிகாரிகளுக்கு ஆதித்யநாத் அறிவுரை |இந்தியா
நண்பனிடமே பணத்தை கொள்ளையடித்து நாடகமாடிய இளைஞர் |குற்றம்
10 நாட்களில் திடீரென ஏற்றம் கண்ட தங்கம் விலை..!|வணிகம்
தங்கத்தின் விலை திடீர் அதிகரிப்பு|வணிகம்
”விஜய் மல்லையா திருடன் இல்லை”: நிதின் கட்கரி|உலகம்
ராஜஸ்தான், சத்தீஸ்கர் முதலமைச்சர்கள் யார்? காங்கிரஸ் இன்று முடிவு!|இந்தியா
இருசக்கர வாகனம் மீது மோதிய லாரி : மூதாட்டி பரிதாபமாக உயிரிழப்பு|தமிழ்நாடு
முதலமைச்சர் தலைமையில் இன்று அமைச்சரவைக் கூட்டம்|தமிழ்நாடு
